"BirdID","Disperse","Inherit","DispersalDate","DispersalMonth2","NatalTerritory","DisperseTerritoryID","DisperseStatus","NatalStatus","DisperseStatus2","Age_at_disp1","Age_at_disp2","BirthDate1","BirthDate2","Reached_min_age_1","Reached_min_age_2","DispersalYear","BirthYear1","BirthYear2","PopDensity.all","PopDensity.old","GroupSize.all","GroupSize.old","NoTranslocationEvents","TranslocationYN","Distance","NatalTerritorySize","DisperseTerritorySize","InsectAbundance","InsectDensity","SexEstimate","Novel.environment.score","StndBody.mass","BodyMass","Weather","Observer","TentColour","ExplorationBranchOrientation","ReleaseMethod","Time.between.tests","Social.status","TentPoles","BranchHeight","Days.into.season","Testno","Ageclass","Age","Age2","Age_sq","Season"
3595,1,NA,"2006-03-12","W",95,90,"BrF","FL",1,193,193,"2005-08-31","2005-08-31",NA,NA,2006,2005,2005,384,317,6,4,NA,"N",41.4849370253831,3198,1897,757.7015,3.849519826,0,0,-0.226491753,15.10000038,"P","VS","B","D","P",0,"Non-primary",0,0,115,1,"A",0.716184195,0.526854211,6661561,115.1
3606,1,NA,"2007-04-07","W",179,100,"ABX","ABX",2,598.958333333333,598.958333333333,"2005-08-16","2005-08-16",NA,NA,2007,2005,2005,357,325,5,5,NA,"N",337.544071196636,1650,1510,578.85254053,2.824358152,0,16,-0.375338127,14.5,"S","HE","B","D","P",0,"Primary",0,0,33,1,"A",0.615059541,0.398114261,5579044,33.2
3608,1,NA,"2006-07-25","S",1,50,"BrF","OFL",1,327.958333333333,327.958333333333,"2005-08-31","2005-08-31",NA,NA,2006,2005,2005,389,332,4,3,NA,"N",388.515121970819,887,1767,826.155111578,3.293563544,0,37,-0.057738696,16,"S","SAK","B","D","P",77,"Primary",0,0,105,2,"A",0.711566631,0.520727118,6610041,105.1
3608,1,NA,"2006-07-25","S",1,50,"BrF","OFL",1,327.958333333333,327.958333333333,"2005-08-31","2005-08-31",NA,NA,2006,2005,2005,389,332,4,3,NA,"N",388.515121970819,887,1767,826.155111578,3.293563544,0,12,-0.103738895,14.89999962,"P","DLG","B","D","P",0,"Primary",0,0,28,1,"A",0.676011387,0.474345191,6220036,28.1
3643,1,NA,"2006-07-19","S",113,109,"BrM","FL",1,293.958333333333,293.958333333333,"2005-09-28","2005-09-28",NA,NA,2006,2005,2005,389,332,3,2,NA,"N",95,1783,1107,826.155111578,3.293563544,1,12,0.142398922,16,"S","LMG","G","P","P",336,"Primary",0,0,88,1,"A",0.859328683,0.728591598,8357881,88.1
3694,1,NA,"2005-06-12","S",69,123,"BrF","CH",1,187.958333333333,187.958333333333,"2004-12-06","2004-12-06",NA,NA,2005,2004,2004,294,267,3,3,NA,"N",90,1856,2105,757.701528839,3.151624758,0,4,-0.46701635,14,"C","HE","G","P","P",0,"Primary",0,0,82,1,"A",0.993238042,0.93800688,10118761,82.1
3699,1,NA,"2007-04-07","W",55,169,"BrF","ABX",1,545.958333333333,545.958333333333,"2005-10-08","2005-10-08",NA,NA,2007,2005,2005,357,325,9,5,NA,"N",60.2992537267253,3193,2134,578.85254053,2.824358152,0,16,0.16666916,16,"S","LMG","G","P","P",0,"Primary",0,0,31,1,"A",0.828391003,0.68305405,7974976,31.1
4803,1,NA,"2006-11-04","W",63,121,"BrF","H",1,322,322,"2005-12-17","2005-12-17",NA,NA,2006,2005,2005,389,332,6,5,NA,"N",137.535449975634,1570,1991,826.155111578,3.293563544,0,2,0.050720698,15.5,"S","LMG","G","P","P",0,"Primary",0,0,65,1,"A",0.811767772,0.659027093,7772944,65.1
4860,1,NA,"2007-05-06","S",54,480,"BrM","H",1,359.958333333333,359.958333333333,"2006-05-11","2006-05-11",NA,NA,2007,2006,2006,389,332,5,4,NA,"N",180.069431053691,1657,936,826.155111578,3.293563544,1,58,0.118128684,16,"S","SH","B","D","P",0,"Primary",0,0,44,1,"A",0.66539099,0.46076438,6105841,44.2
4861,1,NA,"2008-07-26","S",75,159,"BrF","ABX",1,742.958333333333,742.958333333333,"2006-07-14","2006-07-14",NA,NA,2008,2006,2006,357,326,3,3,NA,"N",426.713018315589,1814,1563,981.912924396,2.75125573,0,11,0.072946809,15.39999962,"S","DLG","B","D","P",0,"Primary",0,0,36,1,"A",0.533328656,0.30239996,4774225,36.1
4861,1,NA,"2008-07-26","S",75,159,"BrF","ABX",1,742.958333333333,742.958333333333,"2006-07-14","2006-07-14",NA,NA,2008,2006,2006,357,326,3,3,NA,"N",426.713018315589,1814,1563,981.912924396,2.75125573,0,39,-0.065053788,15.80000019,"S","SAK","B","D","P",80,"Primary",0,0,116,2,"A",0.570269169,0.344737791,5130225,116.1
4885,1,NA,"2007-07-20","S",20,155,"BrF","ABX",1,348.958333333333,348.958333333333,"2006-08-05","2006-08-05",NA,NA,2007,2006,2006,357,325,4,4,NA,"N",527.412551993219,2583,1434,578.85254053,2.824358152,0,43,-0.15679492,15,"C","HE","G","P","P",1,"Primary",0,0,43,2,"A",0.6949434,0.498866526,6426225,43.1
