"BirdID","Distance","NatalTerritorySize","DisperseTerritorySize"
"6199",359.515225727202,1765,3988
"5498",50,1591,1356
"4957",223.03362975121,3669,4022
"5634",62.8012738724303,3036,3060
"5333",91.2359578236563,1779,2704
"3699",60.2992537267253,3193,2134
"5821",223.257698635456,4673,2366
"1819",53.9351462406472,2304,1288
"3594",189.62067397834,2281,856
"5197",154.738489071078,2583,1279
"6900",48.6901496551664,2122,2229
"4892",48.2597140480546,1914,2182
"6030",105.304320899002,1682,2414
"5511",548.893432279892,2000,2441
"2991",55.9016994374947,1903,1650
"5562",281.391186784519,3127,1650
"5838",358.831747001641,0,1613
"5267",511.281722732194,2081,2406
"6385",40.1442371137126,1172,3216
"6690",572.912758044106,2046,3216
"1729",294.416371827383,1737,1666
"3085",57.2800139664787,2167,2583
"6045",53.8679302205867,3057,1992
"6673",65.8255450390912,1955,2953
"6877",50.6126528152793,2345,2760
"2966",154.673850407882,1884,1532
"5607",83.6002392341075,1997,2152
"5595",150.013332740793,2105,2180
"6160",48.0520551069359,1380,2446
"6863",69.5353158923579,1829,2197
"3490",45.3431361950185,1790,2158
"3087",80.3990049689671,2716,2158
"6230",69.777662827658,1359,1767
"6865",122.744796860193,2100,1594
"1763",270.534655820655,1562,2167
"5828",598.973288219099,1933,2876
"6047",65.6048778674269,2223,3696
"5163",131.240237732183,1365,1281
"5072",52.8109837060436,1927,1565
"5750",176.920886274063,2983,1359
"3497",284.971928442084,887,1405
"5782",107.354552767919,4250,1296
"5835",213.590730135931,3430,1351
"6557",78.5125956754069,3419,1354
"4941",145.880087743324,1121,2253
"5561",65,2466,2228
"5749",53.1507290636732,2628,2228
"5787",110,2732,2163
"5766",203.577994881569,1834,2163
"5903",120.50311199301,2414,1791
"5833",136.029408585056,1890,1791
"6219",45.4858854310006,2080,1322
"1824",159.298462013919,1809,2169
"5769",261.398163727292,2382,2857
"3456",55.7135531087365,1107,1213
"4890",53.851648071345,2160,1075
"6546",58.5867745847986,2356,1340
"3462",420.019047187148,2081,1315
"5839",87.3212459828649,2857,2444
"6028",196.224361382577,2425,2444
"5588",110.435501538228,3135,1818
"5235",107.354552767919,1136,2351
"6011",150.748134316813,2257,660
"4999",299.82661656364,1721,2004
"6010",119.096599447675,2734,1198
"5846",277.973020273551,2552,1198
"5525",55.0363516232681,1681,3962
"5513",47.169905660283,2093,3338
"6138",297.333671991586,2367,3559
"5683",302.218464028921,3799,1891
"5262",43.8634243989226,1357,1272
"5549",55,1647,1543
"5612",58.309518948453,1654,1543
"2990",72.1110255092798,1570,1412
"5009",272.976189437834,2521,1438
"5765",34.4093010681705,515,1544
"6213",56.1839890449228,2238,1604
"4860",180.069431053691,1657,936
"4961",270.601182554696,2049,839
"5533",310.3369136922,2038,3369
"5339",43,2290,3369
"5590",130.552671362941,2994,3072
"5829",40.7921561087423,1992,2284
"5536",49.0306026885251,3977,1381
"3608",388.515121970819,887,1767
"5237",40.2616442783948,1333,1613
"5834",368.722117589927,1911,1380
"6660",52.5776583374536,1773,2109
"6382",48.5280514078085,2734,2109
"5450",224.055796622181,1890,2038
"5275",21.9317121994613,2304,576
"5542",63.7887137352682,2602,1612
"5529",149.251465654445,2933,3202
"5850",82.0731381147328,4673,4754
"3094",195.501918149158,1045,2655
"6017",53.851648071345,3057,2734
"5855",53.851648071345,3057,2734
"5575",51,1519,342
"6693",205.924477964617,3210,2257
"1821",426.431706138275,2464,1099
"5638",29.732137494637,2226,1469
"5776",238.933045014707,1356,2132
"5641",297.195222034272,2361,1935
"5321",42.4264068711929,1419,1706
"5514",325.854261902465,2258,1706
"5613",456.027411456811,2455,1878
"6554",573.182783912286,1780,2206
"6014",61.1882341631134,2796,3036
"6048",82.9698740507662,1110,3422
"3453",78.63841300535,1896,1267
"5523",87.6584280032445,1878,2344
"5902",362.327200193416,1705,2049
"6279",343.259473876906,2522,2583
"6568",317.337015172256,2378,2583
"6024",94.1488183675186,2361,0
"6309",167.39625204419,1697,1474
"6034",621.575417789346,2110,864
"5853",158.316139417306,1432,864
"6067",27.7106280378125,1340,1259
"6267",77.2613260305568,2161,1259
"6272",182.614615122257,2162,1445
"6221",49.6729572271717,1797,1445
"6261",35.373509244207,2077,912
"6378",32.9313324396387,942,823
"6565",84.3030480246711,1539,1498
"1669",51.662365412358,1915,2058
"5508",47.6340214552582,1333,1136
"5337",357.351367704113,871,1312
"5842",276.586333718787,2192,1834
"6033",157.49285698088,2583,1570
"6836",142.255777842901,2287,1698
"5319",273.731620387561,1591,1126
"6166",86.6404207053498,1958,2419
"4896",331.25367922485,1622,1512
"5847",245.203996704785,2365,2036
"5334",171.767284428671,2706,2129
"6029",31,1362,1841
"6857",25.7694101601104,1477,1064
"6374",46.2373293454542,1850,1867
"6697",130.243177004594,2069,2128
"6831",44.9349860736851,2174,1887
"6563",120.044866085303,2518,1255
"7094",129.463209663016,1105,1829
"4887",37.7359245282264,2092,1814
"5573",33,1519,1814
"5585",42.0594816896262,3297,2219
"6018",116.29703349613,3971,2219
"6780",38.6559847403995,2220,1331
"1707",483.735464897913,970,2037
"5626",224.742074387508,2105,1875
"5597",203.960780543711,2430,1577
"1605",176.705970470723,2094,3030
"4939",45,2200,1884
"5519",91.7823512446701,1627,2157
"5586",30.1496268633627,2110,1365
"4947",77.8203058333749,3004,1223
"5537",346.538598138793,1312,1223
"2986",383.01566547597,1180,2329
"5530",319.6576293474,1278,2093
"3567",561.648466569615,1721,1903
"5822",363.670180245783,2257,1791
"6065",224.89108474993,894,1791
"5285",247.111310951158,2061,1455
"2978",60.8276253029822,2502,908
"3089",314.61246002026,2027,1330
"5313",415.053008662749,3134,1174
"6009",180.488226762856,1432,1046
"4904",407.180549633698,2355,1487
"5283",61.6116872029975,2306,1487
"6556",67.2300571150102,1562,2506
"1826",59.8414572015087,1365,1387
"5780",80.6225774829855,1890,2983
"6016",111.925634491166,3025,2611
"1722",41.4849370253831,1836,2400
"3595",41.4849370253831,3198,1897
"4954",39.293765408777,2493,1929
"5608",267.686383665662,1875,2933
"6181",127,3792,2933
"5521",426.117354727545,3134,2132
