"BirdID","TerritoryID","Status","FieldPeriodID","PeriodStart","PeriodEnd"
1660,8,"H",30,"06/06/2003","02/09/2003"
1660,8,"H",34,"30/05/2004","02/09/2004"
1660,8,"H",32,"17/05/2004","29/05/2004"
1660,8,"ABX",35,"18/12/2004","12/01/2005"
1660,8,"ABX",31,"12/12/2003","14/01/2004"
1660,8,"ABX",37,"26/05/2005","11/09/2005"
1660,8,"H",75,"12/06/2006","02/09/2006"
1660,8,"BrF",77,"06/01/2007","29/01/2007"
1660,8,"ABX",90,"30/12/2008","03/03/2009"
1660,8,"ABX",82,"14/06/2007","16/09/2007"
1660,8,"ABX",85,"08/01/2008","21/02/2008"
1660,8,"H",87,"10/07/2008","07/09/2008"
1660,8,"ABX",92,"08/06/2009","18/09/2009"
1660,8,"H",104,"30/06/2010","10/09/2010"
1660,8,"H",105,"25/06/2011","02/10/2011"
1660,8,"H",103,"12/02/2010","19/03/2010"
1660,8,"ABX",116,"04/06/2012","30/09/2012"
1660,8,"ABX",118,"22/01/2013","27/02/2013"
1660,8,"ABX",112,"22/01/2012","28/02/2012"
1660,8,"BrF",122,"18/06/2013","30/09/2013"
1660,8,"ABX",54,"11/11/2005","11/12/2005"
1660,8,"BrF",124,"19/01/2014","04/03/2014"
1660,8,"BrF",125,"16/06/2014","04/10/2014"
1660,8,"BrF",139,"16/01/2015","05/03/2015"
1660,8,"BrF",142,"22/06/2015","29/09/2015"
1660,8,"BrF",144,"02/02/2016","09/03/2016"
1660,8,"BrF",159,"23/06/2016","19/09/2016"
1669,68,"BrF",30,"06/06/2003","02/09/2003"
1669,68,"BrF",34,"30/05/2004","02/09/2004"
1669,68,"BrF",32,"17/05/2004","29/05/2004"
1669,68,"BrF",35,"18/12/2004","12/01/2005"
1669,68,"BrF",31,"12/12/2003","14/01/2004"
1669,68,"BrF",37,"26/05/2005","11/09/2005"
1669,68,"BrF",75,"12/06/2006","02/09/2006"
1669,68,"BrF",77,"06/01/2007","29/01/2007"
1669,68,"BrF",82,"14/06/2007","16/09/2007"
1669,68,"BrF",85,"08/01/2008","21/02/2008"
1669,68,"BrF",87,"10/07/2008","07/09/2008"
1669,68,"H",92,"08/06/2009","18/09/2009"
1669,68,"BrF",104,"30/06/2010","10/09/2010"
1669,68,"H",105,"25/06/2011","02/10/2011"
1669,68,"H",116,"04/06/2012","30/09/2012"
1669,68,"H",112,"22/01/2012","28/02/2012"
1669,68,"BrF",54,"11/11/2005","11/12/2005"
1669,68,"ABX",124,"19/01/2014","04/03/2014"
1669,68,"H",125,"16/06/2014","04/10/2014"
1669,68,"ABX",139,"16/01/2015","05/03/2015"
1678,129,"BrF",34,"30/05/2004","02/09/2004"
1678,129,"BrF",32,"17/05/2004","29/05/2004"
1678,129,"BrF",35,"18/12/2004","12/01/2005"
1678,129,"BrF",37,"26/05/2005","11/09/2005"
1678,129,"BrF",75,"12/06/2006","02/09/2006"
1678,129,"BrF",77,"06/01/2007","29/01/2007"
1678,129,"BrF",90,"30/12/2008","03/03/2009"
1678,129,"BrF",82,"14/06/2007","16/09/2007"
1678,129,"BrF",85,"08/01/2008","21/02/2008"
1678,129,"BrF",87,"10/07/2008","07/09/2008"
1678,129,"BrF",92,"08/06/2009","18/09/2009"
1678,129,"BrF",104,"30/06/2010","10/09/2010"
1678,129,"BrF",105,"25/06/2011","02/10/2011"
1678,129,"BrF",103,"12/02/2010","19/03/2010"
1678,129,"BrF",116,"04/06/2012","30/09/2012"
1678,129,"BrF",112,"22/01/2012","28/02/2012"
1678,129,"BrF",118,"22/01/2013","27/02/2013"
1678,129,"BrF",122,"18/06/2013","30/09/2013"
1678,129,"BrF",54,"11/11/2005","11/12/2005"
1678,135,"CH",41,"11/07/2002","02/10/2002"
1678,135,"ABX",30,"06/06/2003","02/09/2003"
1698,51,"BrM",34,"30/05/2004","02/09/2004"
1698,51,"BrM",35,"18/12/2004","12/01/2005"
1698,51,"BrM",37,"26/05/2005","11/09/2005"
1698,51,"BrM",75,"12/06/2006","02/09/2006"
1698,51,"BrM",77,"06/01/2007","29/01/2007"
1698,51,"BrM",90,"30/12/2008","03/03/2009"
1698,51,"BrM",82,"14/06/2007","16/09/2007"
1698,51,"BrM",85,"08/01/2008","21/02/2008"
1698,51,"BrM",87,"10/07/2008","07/09/2008"
1698,51,"BrM",92,"08/06/2009","18/09/2009"
1698,51,"BrM",104,"30/06/2010","10/09/2010"
1698,51,"BrM",103,"12/02/2010","19/03/2010"
1698,51,"BrM",54,"11/11/2005","11/12/2005"
1698,54,"ABX",41,"11/07/2002","02/10/2002"
1698,54,"ABX",30,"06/06/2003","02/09/2003"
1698,54,"ABX",32,"17/05/2004","29/05/2004"
1698,54,"ABX",31,"12/12/2003","14/01/2004"
1707,66,"ABX",41,"11/07/2002","02/10/2002"
1707,77,"BrF",30,"06/06/2003","02/09/2003"
1707,77,"ABX",34,"30/05/2004","02/09/2004"
1707,77,"ABX",32,"17/05/2004","29/05/2004"
1707,77,"BrF",35,"18/12/2004","12/01/2005"
1707,77,"BrF",37,"26/05/2005","11/09/2005"
1707,77,"BrF",75,"12/06/2006","02/09/2006"
1707,77,"BrF",77,"06/01/2007","29/01/2007"
1707,77,"BrF",82,"14/06/2007","16/09/2007"
1707,77,"BrF",85,"08/01/2008","21/02/2008"
1707,77,"BrF",54,"11/11/2005","11/12/2005"
1707,112,"BrF",159,"23/06/2016","19/09/2016"
1707,112,"BrF",161,"07/02/2017","03/03/2017"
1707,112,"BrF",164,"21/06/2017","20/09/2017"
1707,112,"BrF",166,"30/01/2018","14/03/2018"
1707,112,"BrF",167,"19/06/2018","22/09/2018"
1707,477,"BrF",90,"30/12/2008","03/03/2009"
1707,477,"BrF",87,"10/07/2008","07/09/2008"
1707,477,"BrF",92,"08/06/2009","18/09/2009"
1707,477,"BrF",104,"30/06/2010","10/09/2010"
1707,477,"BrF",105,"25/06/2011","02/10/2011"
1707,477,"BrF",103,"12/02/2010","19/03/2010"
1707,477,"BrF",116,"04/06/2012","30/09/2012"
1707,477,"BrF",112,"22/01/2012","28/02/2012"
1707,477,"BrF",118,"22/01/2013","27/02/2013"
1707,477,"BrF",122,"18/06/2013","30/09/2013"
1707,477,"BrF",124,"19/01/2014","04/03/2014"
1707,477,"BrF",125,"16/06/2014","04/10/2014"
1707,477,"BrF",139,"16/01/2015","05/03/2015"
1707,477,"BrF",142,"22/06/2015","29/09/2015"
1707,477,"BrF",144,"02/02/2016","09/03/2016"
1710,77,"BrM",34,"30/05/2004","02/09/2004"
1710,77,"BrM",35,"18/12/2004","12/01/2005"
1710,77,"BrM",37,"26/05/2005","11/09/2005"
1710,77,"BrM",75,"12/06/2006","02/09/2006"
1710,77,"BrM",77,"06/01/2007","29/01/2007"
1710,77,"BrM",82,"14/06/2007","16/09/2007"
1710,77,"BrM",85,"08/01/2008","21/02/2008"
1710,77,"BrM",54,"11/11/2005","11/12/2005"
1710,171,"ABX",30,"06/06/2003","02/09/2003"
1710,171,"ABX",32,"17/05/2004","29/05/2004"
1710,477,"BrM",90,"30/12/2008","03/03/2009"
1710,477,"BrM",87,"10/07/2008","07/09/2008"
1710,477,"BrM",92,"08/06/2009","18/09/2009"
1710,477,"BrM",104,"30/06/2010","10/09/2010"
1710,477,"BrM",105,"25/06/2011","02/10/2011"
1710,477,"BrM",103,"12/02/2010","19/03/2010"
1710,477,"BrM",116,"04/06/2012","30/09/2012"
1710,477,"BrM",112,"22/01/2012","28/02/2012"
1710,477,"BrM",118,"22/01/2013","27/02/2013"
1710,477,"BrM",122,"18/06/2013","30/09/2013"
1710,477,"BrM",124,"19/01/2014","04/03/2014"
1710,477,"BrM",125,"16/06/2014","04/10/2014"
1710,477,"BrM",139,"16/01/2015","05/03/2015"
1710,477,"BrM",142,"22/06/2015","29/09/2015"
1710,477,"BrM",144,"02/02/2016","09/03/2016"
1722,87,"BrM",30,"06/06/2003","02/09/2003"
1722,87,"BrM",34,"30/05/2004","02/09/2004"
1722,87,"BrM",32,"17/05/2004","29/05/2004"
1722,87,"BrM",35,"18/12/2004","12/01/2005"
1722,87,"BrM",31,"12/12/2003","14/01/2004"
1722,87,"BrM",37,"26/05/2005","11/09/2005"
1722,87,"BrM",75,"12/06/2006","02/09/2006"
