"BirdID","ObjectScore","OccasionDate","LastFPIDNatal","SecondLastFPIDNatal","NatalTerritory","SecondLastFPIDNatalPeriodStart","SecondLastFPIDNatalPeriodEnd","LastFPIDNatalPeriodStart","LastFPIDNatalPeriodEnd","Disperse","Prior_dispersal","Method","DispersalDate","DispersalMonth","DispersalMonth2","Status2","FieldPeriodID","PeriodStart","PeriodEnd","TerritoryID","Status","NatalStatus","NatalStatus2"
4860,65,2013-02-14,75,74,54,"2006-03-15","2006-03-21","2006-06-12","2006-09-02",1,"0","E","2007-05-06","May","S",1,85,"2008-01-08","2008-02-21",480,"BrM","H",2
4885,19,2013-07-13,77,75,20,"2006-06-12","2006-09-02","2007-01-06","2007-01-29",1,"0","E","2007-07-20","Jul","S",1,85,"2008-01-08","2008-02-21",155,"BrF","ABX",2
4892,84,2013-08-24,82,77,72,"2007-01-06","2007-01-29","2007-06-14","2007-09-16",1,"0","E","2007-11-12","Nov","W",1,85,"2008-01-08","2008-02-21",173,"BrM","ABX",2
4904,71,2013-08-18,87,85,43,"2008-01-08","2008-02-21","2008-07-10","2008-09-07",1,"0","P","2009-01-07","Jan","W",1,90,"2008-12-30","2009-03-03",88,"BrF","AB",2
4933,0,2013-09-18,85,82,60,"2007-06-14","2007-09-16","2008-01-08","2008-02-21",1,"0","E","2008-05-01","May","S",1,87,"2008-07-10","2008-09-07",128,"BrM","ABX",2
4947,38,2013-02-21,87,85,110,"2008-01-08","2008-02-21","2008-07-10","2008-09-07",1,"0","E","2008-11-03","Nov","W",1,90,"2008-12-30","2009-03-03",81,"BrM","ABX",2
4957,57,2013-07-16,85,82,177,"2007-06-14","2007-09-16","2008-01-08","2008-02-21",1,"0","E","2008-07-26","Jul","S",1,90,"2008-12-30","2009-03-03",165,"BrM","ABX",2
4965,27,2013-07-04,82,77,53,"2007-01-06","2007-01-29","2007-06-14","2007-09-16",1,"0","E","2008-02-12","Feb","W",1,87,"2008-07-10","2008-09-07",127,"BrF","ABX",2
4999,78,2013-09-16,82,77,58,"2007-01-06","2007-01-29","2007-06-14","2007-09-16",1,"0","E","2007-11-12","Nov","W",2,85,"2008-01-08","2008-02-21",45,"H","OFL",2
5000,60,2013-07-14,82,77,135,"2007-01-06","2007-01-29","2007-06-14","2007-09-16",1,"0","E","2008-02-12","Feb","W",1,87,"2008-07-10","2008-09-07",157,"BrM","H",2
5009,0,2019-02-14,75,74,13,"2006-03-15","2006-03-21","2006-06-12","2006-09-02",1,"0","E","2007-01-22","Jan","W",2,82,"2007-06-14","2007-09-16",48,"ABX","CH",2
5072,112,2015-02-14,87,85,47,"2008-01-08","2008-02-21","2008-07-10","2008-09-07",1,"0","E","2008-11-03","Nov","W",1,90,"2008-12-30","2009-03-03",30,"BrM","ABX",2
5217,10,2013-09-05,90,87,125,"2008-07-10","2008-09-07","2008-12-30","2009-03-03",1,"0","E","2009-04-20","Apr","W",2,92,"2009-06-08","2009-09-18",159,"ABX","ABX",2
