"BirdID","Age_at_disp1","Age_at_disp2","BirthDate1","BirthDate2","Reached_min_age_1","Reached_min_age_2","DispersalYear","BirthYear1","BirthYear2"
5539,408,408,2009-12-20,2009-12-20,NA,NA,2011,2009,2009
5541,NA,NA,2009-12-10,2009-12-10,0,0,NA,2009,2009
5542,188,188,2010-07-28,2010-07-28,NA,NA,2011,2010,2010
5543,NA,NA,2010-08-05,2010-08-05,1,1,NA,2010,2010
5549,142.958333333333,142.958333333333,2009-12-17,2009-12-17,NA,NA,2010,2009,2009
5559,304,304,2010-01-05,2010-01-05,NA,NA,2010,2010,2010
5561,353.958333333333,353.958333333333,2010-07-28,2010-07-28,NA,NA,2011,2010,2010
5562,273,273,2010-05-04,2010-05-04,NA,NA,2011,2010,2010
5573,119.958333333333,119.958333333333,2010-01-09,2010-01-09,NA,NA,2010,2010,2010
5575,166,166,2010-08-19,2010-08-19,NA,NA,2011,2010,2010
5582,87,185,2010-11-06,2010-07-31,NA,NA,2011,2010,2010
5585,242,242,2011-03-30,2011-03-30,NA,NA,2011,2011,2011
5586,294.958333333333,387.958333333333,2010-11-01,2010-07-31,NA,NA,2011,2010,2010
5588,392,477,2010-10-31,2010-08-07,NA,NA,2011,2010,2010
5590,272,272,2011-02-28,2011-02-28,NA,NA,2011,2011,2011
5595,411.958333333333,411.958333333333,2011-03-01,2011-03-01,NA,NA,2012,2011,2011
5596,NA,NA,2010-11-07,2010-11-07,1,1,NA,2010,2010
5597,386,462,2010-11-06,2010-08-22,NA,NA,2011,2010,2010
5600,NA,NA,2011-03-08,2011-03-08,1,1,NA,2011,2011
5604,91,91,2010-11-02,2010-11-02,NA,NA,2011,2010,2010
5605,189.958333333333,189.958333333333,2010-11-08,2010-11-08,NA,NA,2011,2010,2010
5606,248.958333333333,248.958333333333,2010-11-08,2010-11-08,NA,NA,2011,2010,2010
5607,90,180,2010-11-03,2010-08-05,NA,NA,2011,2010,2010
5608,90,170,2010-11-03,2010-08-15,NA,NA,2011,2010,2010
5612,84,187,2010-11-09,2010-07-29,NA,NA,2011,2010,2010
5613,214,169,2010-07-02,2010-08-16,NA,NA,2011,2010,2010
5618,599,599,2011-04-07,2011-04-07,NA,NA,2012,2011,2011
5621,91,180,2010-11-02,2010-08-05,NA,NA,2011,2010,2010
5624,299,299,2011-04-21,2011-04-21,NA,NA,2012,2011,2011
5625,380,380,2010-11-12,2010-11-12,NA,NA,2011,2010,2010
5626,71,170,2010-11-22,2010-08-15,NA,NA,2011,2010,2010
5634,348,488,2010-12-14,2010-07-27,NA,NA,2011,2010,2010
5636,NA,NA,2010-12-12,2010-07-27,1,1,NA,2010,2010
5638,195,195,2011-05-16,2011-05-16,NA,NA,2011,2011,2011
5639,194,194,2011-05-17,2011-05-17,NA,NA,2011,2011,2011
5641,678,607,2011-04-01,2011-06-11,NA,NA,2013,2011,2011
5642,164.958333333333,278.958333333333,2010-12-03,2010-08-11,NA,NA,2011,2010,2010
5643,575.958333333333,681.958333333333,2010-12-03,2010-08-19,NA,NA,2012,2010,2010
5648,402.958333333333,402.958333333333,2011-07-03,2011-07-03,NA,NA,2012,2011,2011
5650,690.958333333333,690.958333333333,2011-08-20,2011-08-20,NA,NA,2013,2011,2011
5652,948.958333333333,948.958333333333,2011-01-02,2011-01-02,NA,NA,2013,2011,2011
5653,287.958333333333,287.958333333333,2011-08-14,2011-08-14,NA,NA,2012,2011,2011
5678,315,469,2011-01-16,2010-08-15,NA,NA,2011,2011,2010
5682,131,131,2011-07-19,2011-07-19,NA,NA,2011,2011,2011
5683,136,136,2010-09-18,2010-09-18,NA,NA,2011,2010,2010
5686,NA,NA,2011-07-24,2011-07-24,1,1,NA,2011,2011
5748,NA,NA,2011-08-02,2011-07-30,1,1,NA,2011,2011
5749,186,186,2011-08-01,2011-08-01,NA,NA,2012,2011,2011
5750,630.958333333333,607.958333333333,2011-08-01,2011-08-24,NA,NA,2013,2011,2011
5765,29,79,2011-10-29,2011-09-09,NA,NA,2011,2011,2011
5766,308.958333333333,346.958333333333,2011-09-30,2011-08-23,NA,NA,2012,2011,2011
5768,NA,NA,2011-10-30,2011-08-20,0,0,NA,2011,2011
5769,569.958333333333,613.958333333333,2011-10-01,2011-08-18,NA,NA,2013,2011,2011
5770,NA,NA,2011-12-01,2011-12-01,1,1,NA,2011,2011
5771,NA,NA,2011-12-01,2011-12-01,0,0,NA,2011,2011
5772,NA,NA,2011-11-02,2011-08-16,1,1,NA,2011,2011
5773,NA,NA,2011-11-06,2011-09-12,1,1,NA,2011,2011
5775,456,556,2011-11-09,2011-08-01,NA,NA,2013,2011,2011
5776,167,95,2011-06-13,2011-08-24,NA,NA,2011,2011,2011
5777,NA,NA,2011-12-10,2011-12-10,0,0,NA,2011,2011
