"BirdID","NatalTerritory","Status","FieldPeriodID","PeriodStart","PeriodEnd"
"5542","407","CH","104",2010-06-30,2010-09-10
"5543","71","CH","104",2010-06-30,2010-09-10
"5545","75","CH","104",2010-06-30,2010-09-10
"5547","159","CH","104",2010-06-30,2010-09-10
"5549","63","CH","103",2010-02-12,2010-03-19
"5559","173","CH","103",2010-02-12,2010-03-19
"5561","168","CH","104",2010-06-30,2010-09-10
"5562","8","CH","103",2010-02-12,2010-03-19
"5573","74","CH","103",2010-02-12,2010-03-19
"5575","74","CH","104",2010-06-30,2010-09-10
"5582","79","CH","104",2010-06-30,2010-09-10
"5583","105","BrM","105",2011-06-25,2011-10-02
"5584","3","CH","104",2010-06-30,2010-09-10
"5585","24","CH","105",2011-06-25,2011-10-02
"5586","79","CH","104",2010-06-30,2010-09-10
"5588","13","CH","104",2010-06-30,2010-09-10
"5590","2","CH","105",2011-06-25,2011-10-02
"5594","100","ABX","105",2011-06-25,2011-10-02
"5595","477","CH","105",2011-06-25,2011-10-02
"5596","125","CH","104",2010-06-30,2010-09-10
"5597","173","CH","104",2010-06-30,2010-09-10
"5600","138","CH","105",2011-06-25,2011-10-02
"5602","79","CH","104",2010-06-30,2010-09-10
"5604","14","CH","104",2010-06-30,2010-09-10
"5605","135","CH","104",2010-06-30,2010-09-10
"5606","154","CH","104",2010-06-30,2010-09-10
"5607","109","CH","104",2010-06-30,2010-09-10
"5608","77","CH","104",2010-06-30,2010-09-10
"5612","61","CH","104",2010-06-30,2010-09-10
"5613","101","CH","104",2010-06-30,2010-09-10
"5618","98","CH","105",2011-06-25,2011-10-02
"5620","8","BrM","105",2011-06-25,2011-10-02
"5621","515","CH","104",2010-06-30,2010-09-10
"5624","481","CH","105",2011-06-25,2011-10-02
"5625","165","CH","104",2010-06-30,2010-09-10
"5626","90","CH","104",2010-06-30,2010-09-10
"5630","69","CH","105",2011-06-25,2011-10-02
"5634","59","CH","104",2010-06-30,2010-09-10
"5636","59","H","105",2011-06-25,2011-10-02
"5638","140","CH","105",2011-06-25,2011-10-02
"5639","118","CH","105",2011-06-25,2011-10-02
"5641","168","CH","105",2011-06-25,2011-10-02
"5642","26","CH","104",2010-06-30,2010-09-10
"5643","128","CH","104",2010-06-30,2010-09-10
"5644","128","ABX","105",2011-06-25,2011-10-02
"5648","128","CH","105",2011-06-25,2011-10-02
"5650","160","CH","105",2011-06-25,2011-10-02
"5652","157","CH","104",2010-06-30,2010-09-10
"5653","40","CH","105",2011-06-25,2011-10-02
"5657","83","CH","105",2011-06-25,2011-10-02
"5658","45","CH","105",2011-06-25,2011-10-02
"5678","77","CH","104",2010-06-30,2010-09-10
"5679","36","BrM","105",2011-06-25,2011-10-02
"5682","15","CH","105",2011-06-25,2011-10-02
"5683","174","CH","104",2010-06-30,2010-09-10
