"BirdID","NatalTerritory"
"6011","13"
"6012","94"
"6013","154"
"6014","121"
"6015","85"
"6016","478"
"6017","479"
"6018","3"
"6019","63"
"6020","20"
"6021","57"
"6022","126"
"6023","58"
"6024","168"
"6025","47"
"6026","82"
"6027","36"
"6028","14"
"6029","480"
"6030","111"
"6031","125"
"6032","603"
"6033","60"
"6034","178"
"6036","123"
"6037","90"
"6045","481"
"6046","481"
"6047","8"
"6048","129"
"6050","90"
"6061","100"
"6062","135"
"6065","40"
"6067","39"
"6068","602"
"6137","481"
"6138","80"
"6140","112"
"6141","9"
"6142","13"
"6147","477"
"6149","26"
"6150","407"
"6153","46"
"6155","478"
"6158","110"
"6160","34"
"6166","72"
"6169","101"
"6170","179"
"6175","88"
"6180","83"
"6181","174"
"6185","134"
"6186","159"
"6196","81"
"6199","179"
"6205","20"
"6209","24"
"6213","63"
"6219","111"
"6221","79"
"6230","30"
"6239","70"
"6240","71"
"6261","63"
"6267","477"
"6268","39"
"6272","407"
"6273","112"
"6279","15"
"6309","68"
"6312","138"
"6313","126"
"6374","480"
"6378","179"
"6382","53"
"6384","111"
"6385","616"
"6546","75"
"6548","71"
"6549","20"
"6551","80"
"6552","58"
"6554","83"
"6556","99"
"6557","36"
"6560","165"
"6563","24"
"6564","81"
"6565","154"
"6566","160"
"6567","165"
"6568","605"
"6571","13"
"6573","129"
"6645","27"
"6660","618"
"6673","407"
"6690","126"
"6693","481"
"6697","13"
"6764","57"
"6777","616"
"6780","94"
"6831","172"
"6836","617"
"6845","662"
"6857","1"
"6859","2"
"6863","746"
"6865","43"
"6877","481"
"6882","738"
"6884","47"
"6886","58"
"6900","15"
"6909","8"
"6910","616"
"6921","70"
"6926","20"
"7071","24"
"7074","16"
"7077","72"
"7079","516"
"7080","137"
"7084","3"
"7086","2"
"7091","58"
"7093","480"
"7094","111"
"7096","53"
"7097","45"
"7116","618"
"7131","179"
"7132","109"
"7133","55"
"7144","9"
