mum_FPID,id,mum,dad,p,FPID,PeriodStart,PeriodEnd,O_TerrNum,O_TerrID,dad_FPID,MumStatus,mum_TerrNum,mum_TerrID
3616_104,5621,3616,2966,1,104,30/06/2010,10/09/2010,135,515,2966_104,Dom,135,515
459_30,2968,459,176,1,30,06/06/2003,02/09/2003,39,55,176_30,Dom,39,55
4803_116,6014,4803,1829,1,116,04/06/2012,30/09/2012,83,121,1829_116,Dom,83,121
4861_124,6186,4861,5583,1,124,19/01/2014,04/03/2014,103.1,159,5583_124,Dom,103.1,159
4863_103,5511,4863,1762,0.999,103,12/02/2010,19/03/2010,10,15,1762_103,Dom,10,15
4868_90,5319,4868,1886,1,90,30/12/2008,03/03/2009,92,134,1886_90,Dom,92,134
4868_92,5498,4868,1886,0.999,92,08/06/2009,18/09/2009,92,134,1886_92,Dom,92,134
4885_116,5906,4885,5338,1,116,04/06/2012,30/09/2012,101.1,155,5338_116,Dom,101.1,155
4896_87,5237,4896,2990,0.926,87,10/07/2008,07/09/2008,33.1,48,2990_87,Dom,33.1,48
4896_92,5508,4896,2990,1,92,08/06/2009,18/09/2009,33.1,48,2990_92,Dom,33.1,48
4904_112,5820,4904,5447,1,112,22/01/2012,28/02/2012,59.1,88,5447_112,Dom,59.1,88
4904_124,6175,4904,5283,1,124,19/01/2014,04/03/2014,59.1,88,5283_124,Dom,59.1,88
4917_104,5543,4917,4860,1,104,30/06/2010,10/09/2010,50,71,4860_104,Dom,50,71
4917_105,5768,4917,5144,1,105,25/06/2011,02/10/2011,50,71,5144_105,Dom,50,71
4935_90,5326,4935,3486,1,90,30/12/2008,03/03/2009,65,96,3486_90,Dom,65,96
4936_103,5527,4936,1710,1,103,12/02/2010,19/03/2010,131,477,1710_103,Sub,131,477
4941_92,5526,4941,3615,1,92,08/06/2009,18/09/2009,25,33,3615_92,Dom,25,33
4958_104,5608,4958,4888,1,104,30/06/2010,10/09/2010,52.1,77,4888_104,Dom,52.1,77
4958_104,5678,4958,4888,1,104,30/06/2010,10/09/2010,52.1,77,4888_104,Dom,52.1,77
4958_116,5853,4958,1710,0.997,116,04/06/2012,30/09/2012,52.1,77,1710_116,Dom,52.1,77
4958_118,6009,4958,5626,1,118,22/01/2013,27/02/2013,52.1,77,5626_118,Dom,52.1,77
4958_92,5456,4958,4888,1,92,08/06/2009,18/09/2009,52.1,77,4888_92,Dom,52.1,77
4961_103,5539,4961,5167,1,103,12/02/2010,19/03/2010,133,481,5167_103,Dom,133,481
4964_104,5588,4964,911,0.992,104,30/06/2010,10/09/2010,8,13,911_104,Dom,8,13
4964_92,5313,4964,1762,1,92,08/06/2009,18/09/2009,8,13,1762_92,Dom,8,13
4964_92,5521,4964,1607,1,92,08/06/2009,18/09/2009,8,13,1607_92,Dom,8,13
4965_105,5783,4965,1616,1,105,25/06/2011,02/10/2011,87,127,1616_105,Sub,87,127
4965_92,5532,4965,1616,1,92,08/06/2009,18/09/2009,87,127,1616_92,Dom,87,127
4971_105,5749,4971,4902,1,105,25/06/2011,02/10/2011,6.5,11,4902_105,Dom,6.5,11
4973_92,5513,4973,2990,0.986,92,08/06/2009,18/09/2009,32.5,46,2990_92,Sub,32.5,46
4999_105,5658,4999,5072,1,105,25/06/2011,02/10/2011,32,45,5072_105,Dom,32,45
4999_112,5771,4999,5513,0.999,112,22/01/2012,28/02/2012,32,45,5513_112,Dom,32,45
5075_104,5652,5075,5000,1,104,30/06/2010,10/09/2010,102,157,5000_104,Dom,102,157
5079_87,5290,5079,1867,1,87,10/07/2008,07/09/2008,45,62,1867_87,Dom,45,62
5123_103,5549,5123,4934,1,103,12/02/2010,19/03/2010,46,63,4934_103,Sub,46,63
5123_112,5849,5123,1577,1,112,22/01/2012,28/02/2012,46,63,1577_112,Sub,46,63
5125_112,5770,5125,5526,0.536,112,22/01/2012,28/02/2012,33,47,5526_112,Dom,33,47
5128_112,5838,5128,5583,1,112,22/01/2012,28/02/2012,73,105,5583_112,Dom,73,105
5128_124,6169,5128,5118,1,124,19/01/2014,04/03/2014,69,101,5118_124,Dom,69,101
5132_105,5650,5132,2974,0.995,105,25/06/2011,02/10/2011,104,160,2974_105,Dom,104,160
5132_105,5776,5132,5121,1,105,25/06/2011,02/10/2011,104,160,5121_105,Dom,104,160
5132_139,6566,5132,5456,1,139,16/01/2015,05/03/2015,104,160,5456_139,Dom,104,160
5147_92,5519,5147,5159,1,92,08/06/2009,18/09/2009,134,490,5159_92,Dom,134,490
5155_92,5520,5155,5159,0.776,92,08/06/2009,18/09/2009,3.1,5,5159_92,Dom,3.1,5
5162_104,5683,5162,5077,1,104,30/06/2010,10/09/2010,117,174,5077_104,Dom,117,174
5162_105,5782,5162,5077,1,105,25/06/2011,02/10/2011,117,174,5077_105,Dom,117,174
5162_122,6181,5162,5077,1,122,18/06/2013,30/09/2013,117,174,5077_122,Dom,117,174
5163_112,5823,5163,5072,0.987,112,22/01/2012,28/02/2012,23,30,5072_112,Dom,23,30
5163_92,5525,5163,5072,1,92,08/06/2009,18/09/2009,23,30,5072_92,Dom,23,30
5164_105,5585,5164,2966,1,105,25/06/2011,02/10/2011,18,24,2966_105,Dom,18,24
5164_105,5835,5164,2966,1,105,25/06/2011,02/10/2011,18,24,2966_105,Dom,18,24
5168_103,5573,5168,1031,1,103,12/02/2010,19/03/2010,51.1,74,1031_103,Dom,51.1,74
5168_104,5575,5168,1731,1,104,30/06/2010,10/09/2010,51.1,74,1731_104,Dom,51.1,74
5173_142,6573,5173,5904,1,142,22/06/2015,29/09/2015,88,129,5904_142,Dom,88,129
5195_105,5830,5195,5591,0.999,105,25/06/2011,02/10/2011,47,67,5591_105,Dom,47,67
5212_116,5902,5212,5559,1,116,04/06/2012,30/09/2012,77.1,111,5559_116,Dom,77.1,111
5212_118,6030,5212,5333,1,118,22/01/2013,27/02/2013,77.1,111,5333_118,Dom,77.1,111
5212_125,6219,5212,5559,1,125,16/06/2014,04/10/2014,77.1,111,5559_125,Dom,77.1,111
5212_139,6384,5212,5333,1,139,16/01/2015,05/03/2015,77.1,111,5333_139,Dom,77.1,111
