mum_FPID,id,mum,dad,p,FPID,PeriodStart,PeriodEnd,O_Terr,dad_FPID,mum_Terr
3462_105,5653,3462,2966,1,105,25/06/2011,02/10/2011,29,2966_105,29
3462_122,6065,3462,5590,0.991,122,18/06/2013,30/09/2013,29,5590_122,29
3462_159,6727,3462,5590,1,159,23/06/2016,19/09/2016,29,5590_159,29
3462_87,5198,3462,3093,1,87,10/07/2008,07/09/2008,29,3093_87,29
3462_92,5454,3462,3093,1,92,08/06/2009,18/09/2009,29,3093_92,29
3487_37,4805,3487,1543,1,37,26/05/2005,11/09/2005,30.1,1543_37,30.1
3487_37,4804,3487,1543,1,37,26/05/2005,11/09/2005,30.1,1543_37,30.1
3487_77,4970,3487,1543,0.978,77,06/01/2007,29/01/2007,30.1,1543_77,30.1
3487_82,5141,3487,1543,0.77,82,14/06/2007,16/09/2007,30.1,1543_82,30.1
3490_105,5615,3490,3087,1,105,25/06/2011,02/10/2011,21,3087_105,21
3490_105,5833,3490,3087,1,105,25/06/2011,02/10/2011,21,3087_105,21
3490_112,5780,3490,3087,1,112,22/01/2012,28/02/2012,21,3087_112,21
3490_75,4943,3490,3087,1,75,12/06/2006,02/09/2006,21,3087_75,21
3490_92,5510,3490,3087,1,92,08/06/2009,18/09/2009,21,3087_92,21
3490_92,5450,3490,3615,1,92,08/06/2009,18/09/2009,21,3615_92,21
3491_105,5826,3491,1616,1,105,25/06/2011,02/10/2011,45,1616_105,45
3491_116,5846,3491,5290,1,116,04/06/2012,30/09/2012,45,5290_116,45
3491_125,6203,3491,5291,1,125,16/06/2014,04/10/2014,45,5291_125,45
3491_85,5260,3491,1523,1,85,08/01/2008,21/02/2008,86,1523_85,86
3491_92,5340,3491,5169,1,92,08/06/2009,18/09/2009,86,5169_92,86
3491_92,5340,3491,5169,1,92,08/06/2009,18/09/2009,86,5169_92,41.1
3497_104,5544,3497,1611,1,104,30/06/2010,10/09/2010,24,1611_104,24
3497_124,6189,3497,5835,1,124,19/01/2014,04/03/2014,24,5835_124,24
3497_82,5147,3497,1611,1,82,14/06/2007,16/09/2007,24,1611_82,24
3500_103,5512,3500,1762,0.998,103,12/02/2010,19/03/2010,9,1762_103,9
3500_77,4969,3500,2988,0.997,77,06/01/2007,29/01/2007,9,2988_77,9
3500_82,5168,3500,2988,0.937,82,14/06/2007,16/09/2007,9,2988_82,9
3505_75,4892,3505,1774,1,75,12/06/2006,02/09/2006,50.1,1774_75,50.1
3505_82,5077,3505,1742,0.997,82,14/06/2007,16/09/2007,50.1,1742_82,50.1
3505_90,5280,3505,3005,1,90,30/12/2008,03/03/2009,50.1,3005_90,50.1
3507_75,4907,3507,1587,1,75,12/06/2006,02/09/2006,96,1587_75,96
3507_82,5154,3507,4953,1,82,14/06/2007,16/09/2007,96,4953_82,96
3508_37,3509,3508,1171,1,37,26/05/2005,11/09/2005,94,1171_37,94
3508_37,3613,3508,1171,1,37,26/05/2005,11/09/2005,94,1171_37,94
3508_37,3611,3508,1171,1,37,26/05/2005,11/09/2005,94,1171_37,94
3516_104,5582,3516,2991,1,104,30/06/2010,10/09/2010,53,2991_104,53
3517_104,5561,3517,5333,1,104,30/06/2010,10/09/2010,111,5333_104,111
3517_105,5641,3517,5077,1,105,25/06/2011,02/10/2011,111,5077_105,111
3517_112,5777,3517,5333,0.998,112,22/01/2012,28/02/2012,111,5333_112,111
3517_112,5778,3517,5333,0.995,112,22/01/2012,28/02/2012,111,5333_112,111
3517_75,4910,3517,1593,1,75,12/06/2006,02/09/2006,111,1593_75,111
3517_75,4911,3517,1593,1,75,12/06/2006,02/09/2006,111,1593_75,111
3517_85,5220,3517,1579,1,85,08/01/2008,21/02/2008,111,1579_85,111
3518_104,5613,3518,3486,1,104,30/06/2010,10/09/2010,69,3486_104,69
3518_104,5587,3518,3454,1,104,30/06/2010,10/09/2010,69,3454_104,69
3518_122,6069,3518,1869,0.993,122,18/06/2013,30/09/2013,69,1869_122,69
3518_85,5267,3518,3454,1,85,08/01/2008,21/02/2008,69,3454_85,69
3518_92,5451,3518,5118,0.984,92,08/06/2009,18/09/2009,69,5118_92,69
3567_103,5538,3567,1604,1,103,12/02/2010,19/03/2010,56,1604_103,56
3567_104,5551,3567,1604,1,104,30/06/2010,10/09/2010,56,1604_104,56
3567_105,5657,3567,5285,1,105,25/06/2011,02/10/2011,56,5285_105,56
3567_122,6041,3567,5285,0.998,122,18/06/2013,30/09/2013,56,5285_122,56
3567_124,6180,3567,5822,1,124,19/01/2014,04/03/2014,56,5822_124,56
3567_75,4951,3567,1604,1,75,12/06/2006,02/09/2006,56,1604_75,56
3567_82,5146,3567,1604,1,82,14/06/2007,16/09/2007,56,1604_82,56
3569_104,5542,3569,2966,0.991,104,30/06/2010,10/09/2010,126,2966_104,126
3569_82,5120,3569,3456,1,82,14/06/2007,16/09/2007,126,3456_82,126
3569_87,5204,3569,3456,1,87,10/07/2008,07/09/2008,126,3456_87,126
3574_105,5759,3574,4866,1,105,25/06/2011,02/10/2011,93,4866_105,93
3574_124,6183,3574,5650,1,124,19/01/2014,04/03/2014,93,5650_124,93
3574_87,5226,3574,4866,1,87,10/07/2008,07/09/2008,93,4866_87,93
3574_92,5458,3574,4866,1,92,08/06/2009,18/09/2009,93,4866_92,93
3590_92,5518,3590,1750,1,92,08/06/2009,18/09/2009,127,1750_92,127
3594_92,5530,3594,5197,1,92,08/06/2009,18/09/2009,123,5197_92,123
3595_104,5626,3595,5249,1,104,30/06/2010,10/09/2010,60.1,5249_104,60.1
3595_112,5842,3595,1877,1,112,22/01/2012,28/02/2012,60.1,1877_112,60.1
3595_122,6037,3595,5292,1,122,18/06/2013,30/09/2013,60.1,5292_122,60.1
3595_122,6050,3595,5292,1,122,18/06/2013,30/09/2013,60.1,5292_122,60.1
3595_125,6223,3595,6012,0.998,125,16/06/2014,04/10/2014,60.1,6012_125,60.1
3595_164,6754,3595,5292,1,164,21/06/2017,20/09/2017,60.1,5292_164,60.1
3595_85,5216,3595,3457,1,85,08/01/2008,21/02/2008,60.1,3457_85,60.1
3596_104,5596,3596,5292,0.945,104,30/06/2010,10/09/2010,85,5292_104,85
3596_104,5616,3596,1877,0.994,104,30/06/2010,10/09/2010,85,1877_104,85
3596_112,5850,3596,5249,1,112,22/01/2012,28/02/2012,85,5249_112,85
3596_112,5821,3596,5249,1,112,22/01/2012,28/02/2012,85,5249_112,85
3596_118,6036,3596,5249,1,118,22/01/2013,27/02/2013,85,5249_118,85
3596_142,6670,3596,6200,0.441,142,22/06/2015,29/09/2015,85,6200_142,85
3596_87,5217,3596,1579,0.999,87,10/07/2008,07/09/2008,85,1579_87,85
3596_90,5334,3596,1722,0.952,90,30/12/2008,03/03/2009,85,1722_90,85
3604_104,5563,3604,5118,0.93,104,30/06/2010,10/09/2010,67,5118_104,67
3604_104,5567,3604,3454,1,104,30/06/2010,10/09/2010,67,3454_104,67
3604_105,5623,3604,1533,1,105,25/06/2011,02/10/2011,67,1533_105,67
3604_87,5205,3604,1533,1,87,10/07/2008,07/09/2008,67,1533_87,67
3604_90,5449,3604,1533,1,90,30/12/2008,03/03/2009,67,1533_90,67
3606_105,5594,3606,3458,1,105,25/06/2011,02/10/2011,68,3458_105,68
3606_105,5656,3606,1869,0.999,105,25/06/2011,02/10/2011,68,1869_105,68
3606_124,6064,3606,5547,1,124,19/01/2014,04/03/2014,68,5547_124,68
3606_87,5285,3606,1394,1,87,10/07/2008,07/09/2008,68,1394_87,68
3606_90,5288,3606,1869,0.971,90,30/12/2008,03/03/2009,68,1869_90,68
3606_92,5459,3606,1494,0.999,92,08/06/2009,18/09/2009,68,1494_92,68
3608_105,5748,3608,5237,0.999,105,25/06/2011,02/10/2011,34.5,5237_105,34.5
3608_125,6233,3608,5834,1,125,16/06/2014,04/10/2014,34.5,5834_125,34.5
3608_82,5144,3608,1553,1,82,14/06/2007,16/09/2007,34.5,1553_82,34.5
3608_87,5247,3608,1553,1,87,10/07/2008,07/09/2008,34.5,1553_87,34.5
3608_92,5524,3608,1553,1,92,08/06/2009,18/09/2009,34.5,1553_92,34.5
3616_104,5621,3616,2966,1,104,30/06/2010,10/09/2010,135,2966_104,135
3616_87,5209,3616,3456,0.918,87,10/07/2008,07/09/2008,126,3456_87,126
3641_87,5261,3641,3515,0.997,87,10/07/2008,07/09/2008,86,3515_87,86
3650_82,5174,3650,NA,0.529,82,14/06/2007,16/09/2007,103.1,NA_82,103.1
3695_92,5452,3695,1869,1,92,08/06/2009,18/09/2009,101,1869_92,101
3698_104,5560,3698,1489,1,104,30/06/2010,10/09/2010,82.1,1489_104,82.1
3698_116,5840,3698,1489,1,116,04/06/2012,30/09/2012,82.1,1489_116,82.1
3698_125,6379,3698,1489,1,125,16/06/2014,04/10/2014,82.1,1489_125,82.1
3698_159,6674,3698,4872,0.988,159,23/06/2016,19/09/2016,82.1,4872_159,82.1
3698_75,4872,3698,1489,1,75,12/06/2006,02/09/2006,82.1,1489_75,82.1
3698_77,5132,3698,3457,1,77,06/01/2007,29/01/2007,82.1,3457_77,82.1
3698_82,5121,3698,1489,0.996,82,14/06/2007,16/09/2007,82.1,1489_82,82.1
3698_87,5242,3698,1877,1,87,10/07/2008,07/09/2008,82.1,1877_87,82.1
3698_92,5529,3698,4872,0.978,92,08/06/2009,18/09/2009,82.1,4872_92,82.1
3699_118,6066,3699,1881,0.998,118,22/01/2013,27/02/2013,112,1881_118,112
3699_85,5240,3699,1808,1,85,08/01/2008,21/02/2008,112,1808_85,112
428_17,840,428,75,0.869,17,07/07/1994,29/07/1994,15,75_17,15
430_16,452,430,NA,0.582,16,07/08/1993,13/08/1993,47,NA_16,47
430_16,558,430,51,1,16,07/08/1993,13/08/1993,47,51_16,47
440_17,845,440,NA,0.631,17,07/07/1994,29/07/1994,3.1,NA_17,3.1
440_17,923,440,44,1,17,07/07/1994,29/07/1994,3.1,44_17,3.1
441_19,888,441,860,1,19,22/05/1995,14/09/1995,28,860_19,28
441_19,1020,441,436,1,19,22/05/1995,14/09/1995,28,436_19,28
441_23,1287,441,1165,1,23,20/12/1997,28/03/1998,28,1165_23,28
441_25,1415,441,1165,0.984,25,20/06/1998,27/09/1998,28,1165_25,28
441_28,1565,441,1167,1,28,02/07/1999,26/09/1999,28,1167_28,28
441_28,1544,441,1165,0.995,28,02/07/1999,26/09/1999,28,1165_28,28
442_19,889,442,609,1,19,22/05/1995,14/09/1995,30,609_19,30
442_22,1239,442,868,1,22,01/07/1997,28/08/1997,30.1,868_22,30.1
