"mum_FPID" "id" "mum" "dad" "p" "FPID" "O_Terr" "dad_FPID" "MumStatus" "mum_Terr"
"92" "1177_28" "1440" "1177" "1243" "1" 28 109 "1243_28" "Dom" 109
"93" "1177_40" "1609" "1177" "1395" "1" 40 109 "1395_40" "Dom" 109
"94" "1182_22" "1276" "1182" "851" "1" 22 90 "851_22" "Dom" 90
"95" "1182_22" "3831" "1182" "846" "0.993" 22 90 "846_22" "Dom" 90
"96" "1182_22" "1181" "1182" "851" "1" 22 90 "851_22" "Dom" 90
"97" "1186_25" "1402" "1186" "890" "1" 25 50.1 "890_25" "Dom" 50.1
"98" "1186_26" "1503" "1186" "1184" "1" 26 50.1 "1184_26" "Dom" 50.1
"99" "1186_39" "1575" "1186" "1188" "1" 39 50.1 "1188_39" "Dom" 50.1
"100" "1186_40" "1706" "1186" "1221" "0.998" 40 50.1 "1221_40" "Dom" 50.1
"101" "1186_41" "1761" "1186" "921" "0.999" 41 50.1 "921_41" "Dom" 50.1
"102" "1186_41" "1773" "1186" "1184" "1" 41 50.1 "1184_41" "Dom" 50.1
"103" "1190_25" "3944" "1190" "1191" "0.804" 25 82.1 "1191_25" "Dom" 82.1
"104" "1190_30" "1829" "1190" "1489" "1" 30 82.1 "1489_30" "Dom" 82.1
"105" "1190_40" "1735" "1190" "917" "0.902" 40 82.1 "917_40" "Dom" 82.1
"106" "1193_30" "1805" "1193" "1590" "0.999" 30 33.1 "1590_30" "Dom" 33.1
"107" "1193_32" "3004" "1193" "1590" "0.999" 32 33.1 "1590_32" "Dom" 33.1
"108" "1193_37" "3602" "1193" "1590" "0.999" 37 33.1 "1590_37" "Dom" 33.1
"109" "1193_40" "1622" "1193" "602" "0.997" 40 48 "602_40" "Dom" 48
"110" "1193_41" "1800" "1193" "1495" "1" 41 48 "1495_41" "Dom" 48
"111" "1193_41" "1782" "1193" NA "0.457" 41 48 "NA_41" "Dom" 48
"112" "1193_75" "4906" "1193" "453" "0.558" 75 33.1 "453_75" "Dom" 33.1
"113" "1193_82" "5131" "1193" "2990" "1" 82 33.1 "2990_82" "Dom" 33.1
"114" "1195_37" "3511" "1195" "1579" "0.999" 37 63 "1579_37" "Dom" 63
"115" "1195_37" "3605" "1195" "1871" "0.999" 37 63 "1871_37" "Dom" 63
"116" "1195_39" "1598" "1195" "1279" "1" 39 63 "1279_39" "Dom" 63
"117" "1195_41" "1851" "1195" "1045" "1" 41 63 "1045_41" "Dom" 63
"118" "1195_41" "1797" "1195" NA "0.734" 41 63 "NA_41" "Dom" 63
"119" "1195_85" "5256" "1195" "1871" "0.997" 85 63 "1871_85" "Dom" 63
"120" "1200_28" "1495" "1200" "1156" "1" 28 47.1 "1156_28" "Dom" 47.1
"121" "1200_28" "1506" "1200" "1156" "0.991" 28 47.1 "1156_28" "Dom" 47.1
"122" "1200_37" "3581" "1200" "1553" "1" 37 34.5 "1553_37" "Dom" 34.5
"123" "1200_41" "1752" "1200" "1553" "1" 41 34.5 "1553_41" "Dom" 34.5
