"TerritoryID","FieldPeriodID","TQ"
30,30,24210.9560745
30,32,24210.9560745
30,34,8350.381899
30,37,6263.911181
30,75,4177.440463
30,82,4797.894582
30,87,1874.154031
30,92,12890.48098
30,104,14677.37892
30,105,34097.95947
30,116,3535.122132
30,122,16901.09879
30,125,9314.796296
30,142,7544.87522
31,25,11266.37375
32,2,35624.73731
32,3,35624.73731
32,4,35624.73731
32,5,35624.73731
32,6,35624.73731
32,7,35624.73731
32,10,35624.73731
32,12,35624.73731
32,14,69187.041655
32,16,69187.041655
32,17,69187.041655
32,19,69187.041655
32,21,102749.346
32,22,158646.5412
32,25,80097.15101
32,27,72681.982335
32,28,65266.81366
32,39,38867.966335
32,40,38867.966335
32,41,38867.966335
32,30,12469.11901
32,32,12373.275625
32,34,12277.43224
32,37,9897.798612
32,75,7518.164984
32,82,8412.241581
32,87,10095.48566
32,92,9044.715142
32,104,15532.47189
32,105,56076.72085
32,116,11510.47193
32,122,13124.9066
32,125,7470.837181
32,142,10675.29796
32,159,17989.00253
32,164,52844.68085
32,167,6432.539358
32,173,17359.12416
33,2,15638.56221
33,3,15638.56221
33,4,15638.56221
33,5,15638.56221
33,6,15638.56221
33,7,15638.56221
33,10,15638.56221
33,12,15638.56221
33,14,37781.7391
33,16,37781.7391
33,17,37781.7391
33,19,37781.7391
33,21,59924.91599
33,22,111545.576
33,25,52514.18246
33,27,48321.541055
33,28,44128.89965
33,39,27135.360705
33,40,27135.360705
33,41,27135.360705
33,30,10141.82176
33,32,12367.793405
33,34,14593.76505
33,37,12187.8569755
33,75,9781.948901
33,82,11394.82634
33,87,15015.8353
33,92,18094.57839
33,104,19548.25982
33,105,66391.59668
33,116,19006.90413
33,122,32026.34152
33,125,5125.558699
34,4,23626.20612
34,5,23626.20612
34,6,23626.20612
34,7,23626.20612
34,21,23626.20612
34,40,23626.20612
34,41,23626.20612
34,30,23626.20612
34,32,19693.626135
34,34,15761.04615
34,37,13429.578975
34,75,11098.1118
34,82,9546.673398
34,87,14737.90228
34,92,11238.2182
34,104,15405.20166
34,105,77611.45903
34,116,13392.74421
34,122,18981.28476
34,125,7947.842049
34,142,11117.60164
34,159,19940.66964
34,164,63064.90932
34,167,5469.057578
34,173,43388.00599
35,10,86614.03618
35,12,86614.03618
35,14,86614.03618
35,16,86614.03618
35,17,86614.03618
35,19,86614.03618
35,21,86614.03618
35,22,156739.7103
35,25,43482.56341
35,27,40202.599155
35,28,36922.6349
35,39,36922.6349
35,40,36922.6349
35,41,36922.6349
36,41,7390.631607
36,30,7390.631607
36,32,7918.398609
36,34,8446.165611
36,37,8785.725639
36,75,9125.285667
36,82,6066.448911
36,87,10091.7435
36,92,15884.71721
36,104,30493.10517
36,105,73030.16219
36,116,23263.83656
36,122,43361.90365
36,125,14345.4438
36,142,29393.12597
36,159,46033.64073
36,164,67530.40667
36,167,8566.691036
36,173,37316.82178
37,2,53141.32611
37,3,53141.32611
37,4,53141.32611
37,5,53141.32611
37,6,53141.32611
37,7,53141.32611
37,25,53141.32611
37,27,48034.28056
37,28,42927.23501
37,39,42927.23501
37,40,42927.23501
37,41,42927.23501
37,37,42927.23501
38,2,21899.3299
38,3,21899.3299
38,4,21899.3299
38,5,21899.3299
38,6,21899.3299
38,7,21899.3299
38,10,21899.3299
38,12,21899.3299
38,14,42022.370175
38,16,42022.370175
38,17,42022.370175
38,19,42022.370175
38,21,62145.41045
38,22,95218.56427
38,25,92782.48619
38,27,86642.23084
38,28,80501.97549
38,39,43793.520631
38,40,43793.520631
38,41,43793.520631
38,30,7085.065772
38,32,12220.060376
38,34,17355.05498
38,37,10931.021063
38,75,4506.987146
38,82,5717.017479
39,40,14994.66701
39,41,14994.66701
39,30,14994.66701
39,32,18804.269735
39,34,22613.87246
39,37,15238.5492135
39,75,7863.225967
